taxon	Kingdom	Phylum	Class	Order	Family	Genus	Species	confidence	label	dominant_habitat
62bfccc23e296903f5083ea6232d80e2	Bacteria	Armatimonadetes	[Fimbriimonadia]	[Fimbriimonadales]	[Fimbriimonadaceae]	Fimbriimonas		0.7769352344862891	Armatimonadetes	No abundance
9a36185be5c3d88c334409d1430de9a4	Bacteria	Elusimicrobia	Endomicrobia					0.8023430326736223	Elusimicrobia	No abundance
2173ef0191db8bd6353a193a494e7b10	Archaea	[Parvarchaeota]	[Parvarchaea]	YLA114				0.999210576754424	[Parvarchaeota]	No abundance
40406bf4f3fad886dd141ec1ed26c28e	Bacteria							0.9233429882821269	40406bf4	No abundance
97e50790649337d83dd770ad2152135f	Archaea	[Parvarchaeota]	[Parvarchaea]	WCHD3-30				0.9999999909443034	[Parvarchaeota]	No abundance
108fefef194edb6aeef70080abd50933	Bacteria	OD1	ZB2					0.9883074178037382	OD1	No abundance
7305b995ed01d8a58a9ba5b685929428	Archaea	[Parvarchaeota]	[Parvarchaea]	WCHD3-30				0.9999907300093228	[Parvarchaeota]	No abundance
41a68277f6ca8762d3cd34fca9aa9092	Bacteria	Proteobacteria	Alphaproteobacteria					0.9676167361667593	Proteobacteria	No abundance
99ac026549e29208595043fd20d84115	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae			0.9998198067217083	Proteobacteria	No abundance
edc9888db2968afa4ff06d7405ea582d	Bacteria	Proteobacteria	Alphaproteobacteria					0.9991426363812751	Proteobacteria	No abundance
e006f807cf2532bd410658ded14ed321	Bacteria							0.862459213142974	e006f807	No abundance
6cce2cd00bd37dabb04a9d201661a319	Bacteria	Proteobacteria	Deltaproteobacteria	Spirobacillales				0.999995036821214	Proteobacteria	No abundance
28e3cd5225b67b13d39c091c3e9bf5c3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				0.9973283863315082	Bacteroidetes	No abundance
9a5de52f1a529fa21c058a0a6e8cdb00	Archaea	[Parvarchaeota]	[Parvarchaea]	YLA114				0.9999300324176632	[Parvarchaeota]	No abundance
7816fbae29fad893460e654adf591d90	Bacteria	TM7	TM7-1					0.9999796614837692	TM7	No abundance
c378ae03d45820e017e55cc6152d4d46	Archaea	[Parvarchaeota]	[Parvarchaea]	WCHD3-30				0.9999999990072865	[Parvarchaeota]	No abundance
361c130e82eb71eea7feaf88511c21df	Bacteria	GN02	BB34					0.993557488752128	GN02	No abundance
1d486097afca3cf4d141ebc5df40ec78	Bacteria	Chloroflexi	SAR202					0.9411330613254356	Chloroflexi	No abundance
8efd6e5bbdb58146281969a4c55a5c4a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales				0.825117533642196	Bacteroidetes	No abundance
dba9bc02365242cbc657076722ad96c3	Bacteria	Chloroflexi	SAR202					0.9994948704539723	Chloroflexi	No abundance
acd26a46d434a88d14ecad78b54c63d5	Archaea	[Parvarchaeota]	[Parvarchaea]	YLA114				0.9925325645136545	[Parvarchaeota]	No abundance
26f199ed4c112e7ee6a27473c8ada486	Bacteria							0.9882728884083468	26f199ed	No abundance
5440e3d49e13b259bd13185007ccf977	Bacteria	OP11	OP11-3					0.9918915291650879	OP11	No abundance
6829c4ae2ed6341ffde88f65cd272ad6	Archaea	[Parvarchaeota]	[Parvarchaea]	YLA114				0.9970804567358066	[Parvarchaeota]	No abundance
edb8a1a9119c94bf35ccfb01721ca2f8	Bacteria	Proteobacteria	Deltaproteobacteria					0.9135944008406417	Proteobacteria	No abundance
2c5bc8d8fecf3bcdd0931d75af27eaae	Archaea	[Parvarchaeota]	[Parvarchaea]	YLA114				0.9999981546277442	[Parvarchaeota]	No abundance
e31436da728443669fdd19f8ed405a9a	Bacteria	OP3	koll11	GIF10				0.8127731534064496	OP3	No abundance
1e5252f7f059d825508ebf3880dffd92	Bacteria	Proteobacteria	Gammaproteobacteria					0.8686728136735311	Proteobacteria	No abundance
fb1ab2ccf7312068617f896a12044a23	Bacteria	TM7	SC3					0.9999985192648799	TM7	No abundance
66e4761f8bad310049a940a4cbd3c198	Bacteria	OP3	BD4-9					0.9999710172897289	OP3	No abundance
50518ad6d5607c5c984c40843b5e5c16	Bacteria	GN02	GKS2-174					0.9999992441068472	GN02	No abundance
64c4de1f1def6c18407257adb6027a7a	Archaea	[Parvarchaeota]	[Parvarchaea]	WCHD3-30				0.9993040957619177	[Parvarchaeota]	No abundance
aec7785441e76c0e56fe165365d29b55	Bacteria	OD1						0.9991501845679985	OD1	No abundance
0014b3d116abebc37a109f4c177d3220	Bacteria	GN02	GKS2-174					0.9999999917113058	GN02	No abundance
08259ce2a779d60513ebe9f9814ac92b	Bacteria	Elusimicrobia	Elusimicrobia					0.8469997843205846	Elusimicrobia	No abundance
1ebb7d3b8393d7b8bc9172ae380c7603	Bacteria	OP3	PBS-25					0.9590691732780193	OP3	No abundance
924a54c8baed42000ccdb34d619b2ed1	Bacteria	OP11	OP11-3					0.9999999365321222	OP11	No abundance
f856ce04df6d3a258137374533e88fa4	Bacteria	OD1	ZB2					0.9996734239835535	OD1	No abundance
58a46ae47f3cf2631a37dcf84530d4fb	Bacteria	Proteobacteria	Alphaproteobacteria					0.7447714136778054	Proteobacteria	No abundance
500ffab975da78d30b98e2679adc4d37	Bacteria							0.9879081037634704	500ffab9	No abundance
