feature_id	contrast	lfc	significance	label	Kingdom	Phylum	neg_log10_qval
Bacteria;Lentisphaerae	habitatSediment	-1.4137693874626054	0.0008617043488991709	Lentisphaerae	Bacteria	Lentisphaerae	3.064641715226475
Bacteria;Proteobacteria	habitatSoil	-0.5541550532136895	0.005674397477213575	Proteobacteria	Bacteria	Proteobacteria	2.2460802462429292
Bacteria;	habitatSoil	-0.9375830304396131	0.01981487549229331	Unclassified	Bacteria	Unclassified	1.7030086522311216
Bacteria;Bacteroidetes	habitatSoil	1.50145470588276	1.160555813712918e-6	Bacteroidetes	Bacteria	Bacteroidetes	5.935333968517277
Bacteria;Acidobacteria	habitatSoil	3.5288420988026172	5.950042250641033e-50	Acidobacteria	Bacteria	Acidobacteria	49.225479950379835
Bacteria;Actinobacteria	habitatSoil	3.0895594887326023	4.480665056710125e-10	Actinobacteria	Bacteria	Actinobacteria	9.348657519702074
Bacteria;Planctomycetes	habitatSoil	2.8269167032167943	1.9809010772149796e-9	Planctomycetes	Bacteria	Planctomycetes	8.70313721183771
Archaea;Thaumarchaeota	habitatSoil	1.1326769311911322	0.00014726868254653666	Thaumarchaeota	Archaea	Thaumarchaeota	3.831889598325634
Bacteria;Firmicutes	habitatSoil	0.5453175556571165	0.09376173616167154	Firmicutes	Bacteria	Firmicutes	1.0279743595336133
Bacteria;Chloroflexi	habitatSoil	2.4043141242341135	0.00003475328114905811	Chloroflexi	Bacteria	Chloroflexi	4.459004186249124
Bacteria;Ignavibacteriae	habitatSoil	-2.9927030277993736	1.4925027853564212e-9	Ignavibacteriae	Bacteria	Ignavibacteriae	8.826084849703589
Bacteria;candidate_division_WPS-1	habitatSoil	5.7795127101323365	1.0071260934482177e-202	candidate_division_WPS-1	Bacteria	candidate_division_WPS-1	201.9969161518292
Archaea;	habitatSoil	-4.103732990828257	3.2991930913678403e-72	Unclassified	Archaea	Unclassified	71.4815922658243
Bacteria;Gemmatimonadetes	habitatSoil	1.5605229940919758	4.410886844050507e-24	Gemmatimonadetes	Bacteria	Gemmatimonadetes	23.355474083376617
Bacteria;Verrucomicrobia	habitatSoil	2.9607083361340165	5.380794011602236e-37	Verrucomicrobia	Bacteria	Verrucomicrobia	36.269153633364546
Bacteria;Candidatus_Saccharibacteria	habitatSoil	-2.335250071115414	2.517786989789236e-9	Candidatus_Saccharibacteria	Bacteria	Candidatus_Saccharibacteria	8.598981014924046
Archaea;Crenarchaeota	habitatSoil	0.005685302304343898	1.0	Crenarchaeota	Archaea	Crenarchaeota	-0.0
Bacteria;Parcubacteria	habitatSoil	-4.362994315857144	4.474728195707283e-102	Parcubacteria	Bacteria	Parcubacteria	101.34923333949656
Bacteria;Aminicenantes	habitatSoil	0.0056853023043449405	1.0	Aminicenantes	Bacteria	Aminicenantes	-0.0
Bacteria;Latescibacteria	habitatSoil	0.005685302304344487	1.0	Latescibacteria	Bacteria	Latescibacteria	-0.0
Bacteria;Armatimonadetes	habitatSoil	5.5894338565749955	1.3863069695369849e-188	Armatimonadetes	Bacteria	Armatimonadetes	187.85814059337864
Archaea;Woesearchaeota	habitatSoil	-6.034783499943902	1.5887307603749188e-102	Woesearchaeota	Archaea	Woesearchaeota	101.79894969573839
Bacteria;BRC1	habitatSoil	3.5036644139235897	1.520553942231798e-40	BRC1	Bacteria	BRC1	39.81799816848396
Bacteria;Nitrospirae	habitatSoil	1.145617382103578	7.803770370147663e-13	Nitrospirae	Bacteria	Nitrospirae	12.107695518422188
Archaea;Pacearchaeota	habitatSoil	-4.410629672932453	8.40790756831523e-71	Pacearchaeota	Archaea	Pacearchaeota	70.07531207133654
Archaea;Euryarchaeota	habitatSoil	-1.6295732075541831	4.715832793096739e-13	Euryarchaeota	Archaea	Euryarchaeota	12.326441601864222
Bacteria;Campilobacterota	habitatSoil	-4.779244537296107	4.715832793096739e-13	Campilobacterota	Bacteria	Campilobacterota	12.326441601864222
Archaea;Diapherotrites	habitatSoil	-3.1925767353157455	4.778171216129113e-15	Diapherotrites	Archaea	Diapherotrites	14.320738292240424
Bacteria;Spirochaetes	habitatSoil	0.005685302304344124	1.0	Spirochaetes	Bacteria	Spirochaetes	-0.0
Bacteria;Fusobacteria	habitatSoil	0.005685302304344759	1.0	Fusobacteria	Bacteria	Fusobacteria	-0.0
Bacteria;Hydrogenedentes	habitatSoil	0.005685302304344668	1.0	Hydrogenedentes	Bacteria	Hydrogenedentes	-0.0
Bacteria;Deferribacteres	habitatSoil	0.005685302304344351	1.0	Deferribacteres	Bacteria	Deferribacteres	-0.0
Bacteria;Lentisphaerae	habitatSoil	-0.3605187939183586	1.0	Lentisphaerae	Bacteria	Lentisphaerae	-0.0
