feature_id	avg_log_intensity	log2_fold_change	significance	label	contrast
Archaea;	2.046542570518074	-4.103732990828257	3.2991930913678403e-72	Unclassified	habitatSoil
Bacteria;Gemmatimonadetes	2.0717598033692712	1.5605229940919758	4.410886844050507e-24	Gemmatimonadetes	habitatSoil
Bacteria;Verrucomicrobia	3.1328270846733655	2.9607083361340165	5.380794011602236e-37	Verrucomicrobia	habitatSoil
Bacteria;Candidatus_Saccharibacteria	2.529347553964462	-2.335250071115414	2.517786989789236e-9	Candidatus_Saccharibacteria	habitatSoil
Archaea;Crenarchaeota	2.2450817689638716	0.005685302304343898	1.0	Crenarchaeota	habitatSoil
Bacteria;Parcubacteria	1.9790730851948268	-4.362994315857144	4.474728195707283e-102	Parcubacteria	habitatSoil
Bacteria;Aminicenantes	2.373337729091033	0.0056853023043449405	1.0	Aminicenantes	habitatSoil
Bacteria;Latescibacteria	2.16861747567739	0.005685302304344487	1.0	Latescibacteria	habitatSoil
Bacteria;Armatimonadetes	2.2494803434651733	5.5894338565749955	1.3863069695369849e-188	Armatimonadetes	habitatSoil
Archaea;Woesearchaeota	2.179337940021095	-6.034783499943902	1.5887307603749188e-102	Woesearchaeota	habitatSoil
Bacteria;BRC1	1.5191530259890762	3.5036644139235897	1.520553942231798e-40	BRC1	habitatSoil
Bacteria;Nitrospirae	2.508904954435778	1.145617382103578	7.803770370147663e-13	Nitrospirae	habitatSoil
Archaea;Pacearchaeota	1.5639870488438166	-4.410629672932453	8.40790756831523e-71	Pacearchaeota	habitatSoil
Archaea;Euryarchaeota	1.8314879337446035	-1.6295732075541831	4.715832793096739e-13	Euryarchaeota	habitatSoil
Bacteria;Campilobacterota	2.2979692950031327	-4.779244537296107	4.715832793096739e-13	Campilobacterota	habitatSoil
Archaea;Diapherotrites	1.3889875546190558	-3.1925767353157455	4.778171216129113e-15	Diapherotrites	habitatSoil
Bacteria;Spirochaetes	1.8705378493713796	0.005685302304344124	1.0	Spirochaetes	habitatSoil
Bacteria;Fusobacteria	2.396710345262848	0.005685302304344759	1.0	Fusobacteria	habitatSoil
Bacteria;Hydrogenedentes	1.6250435816501427	0.005685302304344668	1.0	Hydrogenedentes	habitatSoil
Bacteria;Deferribacteres	1.8088907540187364	0.005685302304344351	1.0	Deferribacteres	habitatSoil
Bacteria;Lentisphaerae	1.1772114095120447	-0.3605187939183586	1.0	Lentisphaerae	habitatSoil
