sample_id	depth	iter	shannon	observed_features	faith_pd	group
SRR10070130	2410	8	6.342840741388598	417.0	33.25357199298876	Riverwater
SRR10070130	2410	9	6.207899328203426	389.0	31.696472770284	Riverwater
SRR10070130	2410	10	6.3815908308977525	427.0	36.05582060018826	Riverwater
SRR10070130	2711	1	6.43011807927372	419.0	32.80746939876066	Riverwater
SRR10070130	2711	2	6.307389505381424	425.0	33.74058826598497	Riverwater
SRR10070130	2711	3	6.36289268782326	427.0	33.56709106376548	Riverwater
SRR10070130	2711	4	6.387000258715736	443.0	35.80003605186127	Riverwater
SRR10070130	2711	5	6.243630132734247	427.0	35.32825648311064	Riverwater
SRR10070130	2711	6	6.365072640847468	435.0	35.37391500669554	Riverwater
SRR10070130	2711	7	6.383238832452108	439.0	33.20497025986935	Riverwater
SRR10070130	2711	8	6.300534693267736	414.0	32.76596569013278	Riverwater
SRR10070130	2711	9	6.437367699636463	436.0	35.52721399029549	Riverwater
SRR10070130	2711	10	6.368506047937361	432.0	34.64730515072815	Riverwater
SRR10070130	3013	1	6.368987113414896	449.0	36.02772193228601	Riverwater
SRR10070130	3013	2	6.382709417775844	460.0	35.54759391584924	Riverwater
SRR10070130	3013	3	6.389707248831858	446.0	35.05645011949998	Riverwater
SRR10070130	3013	4	6.3593483047705215	442.0	35.59829144863905	Riverwater
SRR10070130	3013	5	6.44868022717901	463.0	36.58507597183036	Riverwater
SRR10070130	3013	6	6.285317410423384	451.0	35.22716066008597	Riverwater
SRR10070130	3013	7	6.349349351559903	440.0	34.96852943780763	Riverwater
SRR10070130	3013	8	6.40136323333722	456.0	36.03554518733644	Riverwater
SRR10070130	3013	9	6.453897984052473	463.0	37.28295640838947	Riverwater
SRR10070130	3013	10	6.3802528996585215	452.0	35.26708941667916	Riverwater
SRR10070130	3314	1	6.330127395517456	447.0	35.30743045676767	Riverwater
SRR10070130	3314	2	6.384347114893447	471.0	36.7102326610956	Riverwater
SRR10070130	3314	3	6.397447759968487	466.0	36.85893609887748	Riverwater
SRR10070130	3314	4	6.397254063396417	468.0	36.98917873597221	Riverwater
SRR10070130	3314	5	6.396404516886561	449.0	34.89344997564245	Riverwater
SRR10070130	3314	6	6.345993987862808	468.0	36.80094910743851	Riverwater
SRR10070130	3314	7	6.39078484054372	472.0	37.00081279072925	Riverwater
SRR10070130	3314	8	6.330314518587207	477.0	38.40233793352618	Riverwater
SRR10070130	3314	9	6.349389855619584	452.0	34.90998839540075	Riverwater
SRR10070130	3314	10	6.430547611753328	475.0	38.5035756020748	Riverwater
SRR10070130	3615	1	6.314048823959411	472.0	36.946304106909	Riverwater
SRR10070130	3615	2	6.424858170840559	473.0	37.08948020222676	Riverwater
SRR10070130	3615	3	6.362863871955241	470.0	37.52134683690613	Riverwater
SRR10070130	3615	4	6.298315743107886	471.0	36.84138313699856	Riverwater
SRR10070130	3615	5	6.359464665372323	461.0	34.90223769056144	Riverwater
SRR10070130	3615	6	6.398779579919134	468.0	37.33667087100574	Riverwater
SRR10070130	3615	7	6.436194661179904	487.0	38.45689920826708	Riverwater
SRR10070130	3615	8	6.424948396810932	483.0	37.09216186465787	Riverwater
SRR10070130	3615	9	6.422384378659767	478.0	38.21843229906996	Riverwater
SRR10070130	3615	10	6.370699028522068	473.0	36.45535303885156	Riverwater
SRR10070130	3916	1	6.451817298374329	498.0	38.09720763960006	Riverwater
SRR10070130	3916	2	6.391509989104083	500.0	39.66531904540342	Riverwater
SRR10070130	3916	3	6.3546152404841205	476.0	37.11272943019951	Riverwater
SRR10070130	3916	4	6.347159648302935	481.0	37.40546285227635	Riverwater
SRR10070130	3916	5	6.305344206958793	480.0	37.63591561009081	Riverwater
SRR10070130	3916	6	6.424491478501799	503.0	37.70604457660233	Riverwater
SRR10070130	3916	7	6.371579225279181	491.0	37.57771892307689	Riverwater
SRR10070130	3916	8	6.418362826067945	502.0	40.17594468948286	Riverwater
SRR10070130	3916	9	6.32911002301146	481.0	37.47456175598092	Riverwater
SRR10070130	3916	10	6.43779248443919	507.0	39.91211039973625	Riverwater
SRR10070130	4217	1	6.41714096233294	505.0	39.07283298327106	Riverwater
SRR10070130	4217	2	6.389733659652053	489.0	36.95254154446732	Riverwater
SRR10070130	4217	3	6.43025428476331	510.0	40.95329855890564	Riverwater
SRR10070130	4217	4	6.470021176634815	496.0	39.21441185618614	Riverwater
SRR10070130	4217	5	6.345602745671066	491.0	38.7147035052323	Riverwater
SRR10070130	4217	6	6.439371406008385	504.0	38.39107853045901	Riverwater
SRR10070130	4217	7	6.505898686184702	506.0	40.48089680766768	Riverwater
SRR10070130	4217	8	6.34567839031674	485.0	38.46085749124674	Riverwater
SRR10070130	4217	9	6.329225305391415	492.0	38.63939504990627	Riverwater
SRR10070130	4217	10	6.399966040177831	500.0	38.81514925237746	Riverwater
SRR10070130	4519	1	6.388333308208881	511.0	40.03833422457997	Riverwater
SRR10070130	4519	2	6.489644816494755	531.0	41.44567749661184	Riverwater
SRR10070130	4519	3	6.344294705880712	498.0	38.94826739042137	Riverwater
SRR10070130	4519	4	6.3844414166122405	522.0	40.29703798481658	Riverwater
SRR10070130	4519	5	6.364912823578667	513.0	39.19875677009432	Riverwater
SRR10070130	4519	6	6.389922426920066	513.0	39.53522244797981	Riverwater
SRR10070130	4519	7	6.405812007735149	494.0	37.07029931103771	Riverwater
SRR10070130	4519	8	6.405524313760129	528.0	40.71833948152083	Riverwater
SRR10070130	4519	9	6.457340523635637	502.0	39.39314586174487	Riverwater
SRR10070130	4519	10	6.386235701894302	500.0	39.43548730587696	Riverwater
SRR10070130	4820	1	6.385526854400025	513.0	39.84685585876883	Riverwater
SRR10070130	4820	2	6.399726735570396	509.0	39.86537363674457	Riverwater
SRR10070130	4820	3	6.500207080401785	517.0	39.39005822374604	Riverwater
SRR10070130	4820	4	6.4728049003678745	519.0	39.88382414242894	Riverwater
SRR10070130	4820	5	6.406642215197159	522.0	40.82844706644511	Riverwater
SRR10070130	4820	6	6.427640224270353	500.0	38.2256840086331	Riverwater
SRR10070130	4820	7	6.443092771832079	521.0	39.29725962921417	Riverwater
SRR10070130	4820	8	6.381703175585656	537.0	41.94215865601389	Riverwater
SRR10070130	4820	9	6.407010943146656	522.0	39.39914581686235	Riverwater
SRR10070130	4820	10	6.409289347942988	532.0	39.73535016058315	Riverwater
SRR10070130	5121	1	6.448879470952821	533.0	41.66844051138068	Riverwater
