sample_id	depth	iter	shannon	observed_features	faith_pd	name	habitat	Riv_vs_Gro	Sed_vs_Soil
SRR10070130	2410	5	6.508453164344617	446.0	36.1587067702862	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	6	6.335184739549058	404.0	32.18516095239671	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	7	6.510855369915734	441.0	34.84750604728652	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	8	6.45764940097173	422.0	33.31601372737161	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	9	6.451589076130694	431.0	35.63301752276104	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2410	10	6.448904393458836	422.0	33.13264522501512	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	1	6.481436296625216	455.0	37.11316498066728	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	2	6.408053872204215	437.0	35.19989748193253	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	3	6.444168565470566	451.0	35.69107568431841	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	4	6.527453699683351	447.0	36.80513407925904	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	5	6.427661779118903	440.0	35.04336462387725	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	6	6.484954471016624	441.0	35.81466712409257	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	7	6.466402660761769	441.0	36.42209903899111	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	8	6.530271745336544	476.0	38.00389158579245	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	9	6.432069314401311	451.0	35.09064572212691	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	2711	10	6.400292403455564	448.0	35.31646091252534	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	1	6.389347464209681	457.0	35.64992239722446	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	2	6.461427440552772	478.0	36.92828803451426	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	3	6.435441888829881	457.0	36.57033691879541	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	4	6.543059057519329	478.0	38.60291722668627	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	5	6.587934809374958	491.0	39.98149319513496	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	6	6.436780634464878	459.0	34.94235792075821	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	7	6.424009357416024	453.0	37.4745986812976	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	8	6.451580145219215	459.0	35.86824212873447	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	9	6.476120934784878	468.0	37.45655009118316	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3013	10	6.435236621953625	445.0	35.60627104792374	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	1	6.551331259527209	489.0	39.1621553575261	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	2	6.62425615341783	506.0	40.68065906115257	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	3	6.475578622837101	476.0	37.7392703691269	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	4	6.440621187383331	470.0	36.98184352248509	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	5	6.491343685504698	482.0	36.43615823942496	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	6	6.544905297656452	494.0	38.33434500573585	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	7	6.561277744533228	469.0	36.78370840860398	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	8	6.4052295930129	470.0	37.99128699345546	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	9	6.5288027422034105	487.0	38.28970285154037	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3314	10	6.541431838928042	472.0	37.99791317658464	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	1	6.650878596607684	502.0	40.26239125665165	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	2	6.462901549672257	493.0	40.18575049980209	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	3	6.56821009806454	500.0	40.057515275836	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	4	6.479170782323215	501.0	37.41783363670223	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	5	6.535965588548236	490.0	38.22004043801992	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	6	6.494751914802358	485.0	38.2265587907429	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	7	6.428558733634777	483.0	35.82358521934039	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	8	6.576298540486627	499.0	40.35898182068758	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	9	6.598459519560025	498.0	38.44275926425608	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3615	10	6.37966512257263	489.0	40.05059858857921	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	1	6.472160413559783	495.0	40.99529720119959	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	2	6.563462912512226	514.0	39.70089623003711	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	3	6.563324866703395	506.0	39.20694688740331	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	4	6.435895055053794	491.0	39.3954280394448	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	5	6.591162813216129	512.0	39.83533434732225	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	6	6.475435258999071	500.0	38.25160728224104	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	7	6.57259557212871	511.0	39.74251192566178	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	8	6.549910692555462	521.0	40.80767838317091	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	9	6.531124896465983	516.0	40.71480759356675	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	3916	10	6.52858034401563	517.0	41.17800296062369	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	1	6.4595957031394535	513.0	40.22611282446571	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	2	6.561718372135161	518.0	41.15084690261658	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	3	6.61192622411706	522.0	41.96986839217402	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	4	6.451324582782636	518.0	39.277109858686	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	5	6.517252586737565	521.0	40.48537351825519	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	6	6.548806927678903	512.0	40.39783227260267	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	7	6.563864409051789	521.0	40.46612992080608	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	8	6.584706110142669	540.0	43.562326739661	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	9	6.547984650396606	529.0	40.53215064443557	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4217	10	6.4796137520229	509.0	38.40250404053149	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	1	6.575780452400758	545.0	42.41771054661239	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	2	6.507177621742173	525.0	42.0369879382782	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	3	6.587710807492936	542.0	41.94823918534894	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	4	6.62107013841154	532.0	41.88495809056705	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	5	6.492406136308123	531.0	41.29667192277481	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	6	6.505572462191458	518.0	41.43770606521274	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	7	6.560933116397354	525.0	39.88109513172158	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	8	6.507516960658505	523.0	39.68608400060789	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	9	6.525288778440002	520.0	40.65558754078253	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4519	10	6.521943122308252	528.0	41.4426459117805	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	1	6.557560254218695	540.0	40.62193316192693	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	2	6.552384434639794	539.0	42.77948438969897	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	3	6.556710928328259	546.0	43.46591932272278	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	4	6.575836428759535	545.0	41.81664438923142	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	5	6.552312421989811	534.0	40.6976542250686	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	6	6.518912913297718	537.0	43.56932262635235	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	7	6.462580762096179	528.0	40.89339579857112	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	8	6.543310242843421	546.0	40.82217003650375	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	9	6.490693816416652	541.0	41.7079090696117	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	4820	10	6.459931018827548	538.0	41.0520249025572	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	1	6.507427027911197	538.0	43.23702523240575	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	2	6.521450628818436	548.0	43.67411033064683	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	3	6.576205488382584	551.0	42.53385110296446	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	4	6.5335840817430535	557.0	42.72599844807976	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	5	6.560139833645219	547.0	42.25213219226301	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	6	6.588120637839405	552.0	43.07903040488552	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	7	6.5130770147169486	537.0	41.22249387521285	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	8	6.583037790009574	566.0	43.29707763624801	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	9	6.537192833037691	545.0	43.06483707303282	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5121	10	6.605432482520811	561.0	44.15068142309192	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	1	6.569034383163124	553.0	43.89560712346792	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	2	6.523601307316075	568.0	44.63326259251074	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	3	6.531535483559494	563.0	44.23975159998945	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	4	6.556925210652029	561.0	43.15242783580049	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	5	6.501344152549933	559.0	42.93168588620337	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	6	6.498643580406594	558.0	43.65404083810928	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	7	6.558101898336178	562.0	43.06948606012273	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	8	6.603198205759185	561.0	44.17811962803434	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	9	6.552462224041214	557.0	45.15696435474187	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5422	10	6.532117865061943	552.0	43.8891664252803	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	1	6.538212605507985	560.0	44.4283709721871	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	2	6.615885112259838	569.0	44.21813038506152	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	3	6.5319946447326895	553.0	44.10028273698265	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	4	6.581120843978939	565.0	45.52234294024627	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	5	6.56890466746006	558.0	43.90990023832511	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	6	6.538314244604676	561.0	43.70057820280162	SRR10070130-Riverwater	Riverwater	Riverwater	
SRR10070130	5723	7	6.536148831654074	560.0	43.93773835336866	SRR10070130-Riverwater	Riverwater	Riverwater	
