sample_id	rank	taxon	abundance	lineage	habitat
SRR10070132	Family	Moraxellaceae	0.16186252771618626	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	Groundwater
SRR10070132	Family	Gallionellaceae	0.13363465802490193	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae	Groundwater
SRR10070132	Family	Comamonadaceae	0.1286031042128603	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	Groundwater
SRR10070132	Family	Pseudomonadaceae	0.10161180283131503	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	Groundwater
SRR10070132	Family	""	0.0787139689578714	Bacteria;;;;	Groundwater
SRR10070132	Family	Nitrosopumilus	0.07410881801125703	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus	Groundwater
SRR10070132	Family	Oxalobacteraceae	0.02912331570868156	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae	Groundwater
SRR10070132	Genus	Acinetobacter	0.1611376428449599	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter	Groundwater
SRR10070132	Genus	Sideroxydans	0.13363465802490193	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxydans	Groundwater
SRR10070132	Genus	Pseudomonas	0.10161180283131503	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	Groundwater
SRR10070132	Genus	""	0.0787139689578714	Bacteria;;;;;	Groundwater
SRR10070132	Genus	""	0.07410881801125703	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae;Nitrosopumilus;	Groundwater
SRR10070132	Genus	Polaromonas	0.04779976121439536	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	Groundwater
SRR10070132	Genus	Aquabacterium	0.031084768889646938	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium	Groundwater
SRR10070132	Kingdom	Bacteria	0.8862783557905511	Bacteria	Groundwater
SRR10070132	Kingdom	Archaea	0.11372164420944908	Archaea	Groundwater
SRR10070132	Order	Pseudomonadales	0.2634743305475013	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	Groundwater
SRR10070132	Order	Burkholderiales	0.16574279379157428	Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales	Groundwater
SRR10070132	Order	Nitrosomonadales	0.14015862186593894	Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales	Groundwater
SRR10070132	Order	""	0.0787139689578714	Bacteria;;;	Groundwater
SRR10070132	Order	Nitrosopumilaceae	0.07410881801125703	Archaea;Thaumarchaeota;Nitrosopumilales;Nitrosopumilaceae	Groundwater
SRR10070132	Order	""	0.02856899198362613	Bacteria;Proteobacteria;Betaproteobacteria;	Groundwater
SRR10070132	Order	""	0.018122121780658366	Bacteria;Candidatus_Saccharibacteria;;	Groundwater
SRR10070132	Phylum	Proteobacteria	0.6806242537949855	Bacteria;Proteobacteria	Groundwater
SRR10070132	Phylum	Thaumarchaeota	0.0920603786457445	Archaea;Thaumarchaeota	Groundwater
SRR10070132	Phylum	""	0.0787139689578714	Bacteria;	Groundwater
SRR10070132	Phylum	Firmicutes	0.03342998464949685	Bacteria;Firmicutes	Groundwater
SRR10070132	Phylum	Candidatus_Saccharibacteria	0.018122121780658366	Bacteria;Candidatus_Saccharibacteria	Groundwater
SRR10070132	Phylum	Actinobacteria	0.017098754903632954	Bacteria;Actinobacteria	Groundwater
SRR10070132	Phylum	Campilobacterota	0.015521064301552107	Bacteria;Campilobacterota	Groundwater
SRR10070133	Class	Betaproteobacteria	0.4228389553215539	Bacteria;Proteobacteria;Betaproteobacteria	Groundwater
SRR10070133	Class	Gammaproteobacteria	0.17350823963352965	Bacteria;Proteobacteria;Gammaproteobacteria	Groundwater
SRR10070133	Class	""	0.13143256588732227	Bacteria;;	Groundwater
